n	n:500	L50	LG50	NG50	min	N80	N50	N20	E-size	max	sum	name
694632	178344	18906	22517	38277	500	18294	43070	85371	55431	388229	2.795e9	abyss/hsapiens-scaftigs.fa
964783	64844	147	176	4824297	500	2011416	5704655	11.83e6	6790924	20.78e6	2.796e9	abyss/hsapiens-scaffolds.fa
23.05e6	1413270	291114	589225	1195	500	943	1969	4622	3107	43099	2.183e9	bcalm/hsapiens-unitigs.fa
1071271	159051	9568	10829	82089	500	37321	89319	171126	110414	726230	2.872e9	discovardenovo/hsapiens-scaftigs.fa
1052312	140091	5116	5806	150258	500	64894	162699	326072	206496	1283049	2.872e9	discovardenovo/hsapiens-scaffolds.fa
6703921	704513	87723	104132	7938	500	3409	8989	18795	12010	119160	2.811e9	sga/hsapiens-contigs.fa
13.94e6	1362052	310619	557737	1406	500	1061	2136	4114	2767	25445	2.233e9	soapdenovo/hsapiens-scaftigs.fa
15.16e6	474189	12064	19093	27866	500	3712	50129	135599	77533	657158	2.556e9	soapdenovo/hsapiens-scaffolds.fa
1071271	159051	9568	10829	82089	500	37321	89319	171126	110414	726230	2.872e9	discovardenovo/abyss-scaffold/hsapiens-scaftigs.fa
1011278	99057	76	86	10.42e6	500	3698371	11.02e6	22.85e6	13.35e6	49.44e6	2.872e9	discovardenovo/abyss-scaffold/hsapiens-scaffolds.fa
1071271	157974	9552	10835	82001	500	37423	89392	171133	110471	726143	2.869e9	discovardenovo/besst/hsapiens-scaftigs.fa
1006950	98019	98	113	6919982	500	2812003	7839079	16.84e6	10.97e6	51.03e6	2.87e9	discovardenovo/besst/hsapiens-scaffolds.fa
1071454	159234	9576	10829	82089	500	37265	89240	171108	110367	726230	2.874e9	discovardenovo/links/hsapiens-scaftigs.fa
1020891	108670	239	272	3082817	500	1164237	3410969	7401512	4304694	16.76e6	2.874e9	discovardenovo/links/hsapiens-scaffolds.fa
1044596	132375	312	371	1609838	500	64897	2055965	6234939	3244768	23.77e6	2.873e9	discovardenovo/bionano/hsapiens-scaffolds.fa
1145170	159059	9570	10831	82089	500	37318	89319	171108	110347	726230	2.872e9	discovardenovo/bionano/hsapiens-scaftigs.fa
1006375	97441	22	25	37.8e6	500	14.39e6	44.52e6	67.03e6	48.85e6	169.8e6	2.87e9	discovardenovo/besst/bionano/hsapiens-scaffolds.fa
1076606	158038	9557	10839	81994	500	37370	89366	171108	110374	726143	2.869e9	discovardenovo/besst/bionano/hsapiens-scaftigs.fa
1019679	107456	32	36	25.72e6	500	12.16e6	28.99e6	51.71e6	33.24e6	102.9e6	2.874e9	discovardenovo/links/bionano/hsapiens-scaffolds.fa
1078297	159296	9580	10833	82064	500	37229	89218	171083	110279	726230	2.874e9	discovardenovo/links/bionano/hsapiens-scaftigs.fa
